Date,Open,High,Low,Close,Adj Close,Volume
2019-07-17,56510.000000,56510.000000,55817.500000,56004.699219,55612.812500,4807
2019-07-18,56005.000000,56252.750000,55406.050781,55538.398438,55149.781250,3075
2019-07-19,55740.000000,55900.000000,53175.851563,53502.851563,53128.472656,8765
2019-07-22,53782.851563,54365.851563,53254.050781,54144.101563,53765.242188,3720
2019-07-23,54349.000000,54435.398438,53600.000000,53941.800781,53564.355469,3685
2019-07-24,54000.000000,54639.949219,53725.000000,54028.601563,53650.546875,5309
2019-07-25,54025.000000,54483.601563,53800.000000,54112.898438,53734.246094,4636
2019-07-26,54000.000000,54981.750000,54000.000000,54338.500000,53958.269531,2683
2019-07-29,54340.000000,54660.000000,53510.000000,53785.300781,53408.953125,7924
2019-07-30,53990.000000,54289.750000,53673.000000,53778.500000,53402.203125,4885
2019-07-31,53801.000000,53801.000000,52636.550781,53548.750000,53174.046875,5426
2019-08-01,53450.000000,53878.351563,53100.000000,53355.601563,53035.738281,5918
2019-08-02,53050.000000,54284.550781,52411.148438,53869.550781,53546.601563,5861
2019-08-05,53250.000000,53650.000000,52951.000000,53352.898438,53033.054688,3159
2019-08-06,53200.000000,54094.949219,53200.000000,53871.148438,53548.187500,2796
2019-08-07,54000.000000,54450.000000,53700.000000,53998.500000,53674.781250,4650
2019-08-08,54015.000000,54900.000000,54005.000000,54699.550781,54371.628906,2761
2019-08-09,54850.000000,57431.601563,54550.000000,57034.449219,56692.531250,21845
2019-08-13,56601.300781,57390.898438,56011.101563,56736.750000,56396.613281,7241
2019-08-14,56621.000000,57871.500000,56350.000000,57293.000000,56949.523438,8058
2019-08-16,57300.000000,58300.000000,56501.351563,56823.601563,56482.949219,5761
2019-08-19,57010.000000,57745.000000,57010.000000,57589.800781,57244.550781,4045
2019-08-20,57502.000000,57857.000000,57228.949219,57548.898438,57203.902344,3228
2019-08-21,57501.000000,57857.000000,57200.000000,57737.000000,57390.863281,3921
2019-08-22,57502.000000,57700.000000,56979.000000,57572.449219,57227.300781,5127
2019-08-23,57600.000000,58400.000000,56521.050781,57859.500000,57512.632813,5842
2019-08-26,58450.000000,59000.000000,57304.050781,58782.398438,58429.992188,5060
2019-08-27,58780.000000,59499.000000,58650.550781,58871.500000,58518.562500,4168
2019-08-28,58871.000000,59200.000000,57580.601563,57924.500000,57577.250000,3434
2019-08-29,57950.000000,57988.000000,57188.050781,57545.648438,57200.667969,2946
2019-08-30,57660.000000,58950.000000,57660.000000,58590.050781,58238.808594,4921
2019-09-03,58598.300781,58649.851563,57519.851563,57801.550781,57455.035156,3399
2019-09-04,57801.550781,58188.898438,57495.050781,57691.199219,57345.347656,3013
2019-09-05,57880.000000,58260.000000,57583.601563,57722.449219,57376.406250,2103
2019-09-06,58080.000000,58980.000000,57900.101563,58754.300781,58402.070313,2892
2019-09-09,58802.000000,59200.000000,58333.000000,58869.101563,58516.183594,2887
2019-09-11,58950.000000,60280.000000,58875.050781,60101.949219,59741.640625,6205
2019-09-12,60256.000000,61109.949219,60000.000000,60658.898438,60295.246094,7908
2019-09-13,60754.000000,60996.699219,59760.050781,60119.949219,59759.535156,7070
2019-09-16,59799.000000,59980.000000,59300.050781,59461.500000,59105.023438,2897
2019-09-17,59650.000000,59993.648438,57550.000000,57852.398438,57505.574219,5455
2019-09-18,58699.000000,58699.000000,58000.000000,58364.550781,58014.664063,4374
2019-09-19,58213.000000,58400.000000,57890.949219,58069.148438,57721.027344,2409
2019-09-20,58380.000000,65850.000000,58069.148438,64642.898438,64255.371094,25477
2019-09-23,64900.000000,67467.000000,64900.000000,66180.250000,65783.500000,16170
2019-09-24,66749.000000,67227.546875,65691.296875,65879.546875,65484.621094,8452
2019-09-25,65522.000000,65990.000000,64200.000000,64499.500000,64112.824219,6021
2019-09-26,64499.500000,65420.000000,62150.000000,62859.601563,62482.761719,20476
2019-09-27,62859.601563,63875.851563,62286.750000,62674.550781,62298.820313,7538
2019-09-30,62959.000000,63449.898438,62470.000000,63291.550781,62912.128906,4885
2019-10-01,63299.000000,63949.000000,60768.949219,61863.398438,61492.531250,9209
2019-10-03,61863.398438,62065.000000,61200.000000,61471.050781,61102.531250,5960
2019-10-04,61980.000000,61980.000000,60515.898438,60938.351563,60573.027344,4320
2019-10-07,60989.000000,61559.000000,60600.000000,61165.101563,60798.421875,3561
2019-10-09,61250.500000,61500.898438,60283.550781,61186.101563,60819.292969,6263
2019-10-10,61200.000000,61389.000000,60736.851563,61174.000000,60807.265625,3047
2019-10-11,61250.000000,61887.550781,61050.000000,61722.699219,61352.679688,4974
2019-10-14,61723.000000,62717.550781,61641.351563,61996.648438,61624.980469,4294
2019-10-15,62150.000000,63297.898438,61772.000000,63027.500000,62649.648438,4999
2019-10-16,63030.000000,63615.949219,62629.449219,62896.898438,62519.832031,3660
2019-10-17,62896.000000,65711.601563,62656.000000,64901.898438,64512.812500,7039
2019-10-18,64900.000000,65086.949219,63800.000000,64019.750000,63635.957031,4473
2019-10-22,64394.949219,64749.898438,64030.050781,64211.300781,63826.359375,3206
2019-10-23,64288.000000,64542.949219,63866.449219,64321.300781,63935.699219,5771
2019-10-24,64650.000000,64700.000000,63055.000000,63480.199219,63099.636719,8461
2019-10-25,63830.000000,63980.000000,63025.351563,63285.601563,62906.214844,5263
2019-10-27,63749.000000,63749.000000,63011.851563,63324.351563,62944.722656,534
2019-10-29,63579.000000,65600.000000,63334.148438,65171.148438,64780.449219,10839
2019-10-30,65250.000000,65450.000000,64103.449219,64893.300781,64504.269531,5400
2019-10-31,65200.000000,66300.000000,65105.101563,65673.750000,65280.042969,7189
2019-11-01,65990.000000,66495.601563,64684.398438,64965.800781,64576.328125,7154
2019-11-04,65301.000000,65709.953125,64200.000000,64440.351563,64054.042969,5008
2019-11-05,64738.000000,65200.851563,63231.398438,63855.750000,63472.941406,5484
2019-11-06,63880.000000,64163.148438,63365.050781,63637.750000,63256.238281,3245
2019-11-07,63755.000000,63921.898438,63310.050781,63522.601563,63141.785156,2116
2019-11-08,63681.398438,65490.000000,62855.699219,64454.449219,64068.062500,15991
2019-11-11,64001.000000,64100.000000,62950.000000,63085.199219,62707.007813,7175
2019-11-13,63380.000000,63380.000000,62400.000000,62959.148438,62581.710938,4688
2019-11-14,63068.800781,63700.000000,62785.300781,63621.500000,63240.093750,3395
2019-11-15,63749.050781,64460.250000,63312.300781,63950.500000,63567.121094,3201
2019-11-18,64110.398438,64699.000000,63850.000000,64393.550781,64007.507813,3043
2019-11-19,64440.000000,64440.550781,63420.000000,63539.351563,63158.429688,2672
2019-11-20,63849.000000,64111.949219,62750.199219,63058.449219,62680.421875,2999
2019-11-21,63100.000000,63430.199219,62446.199219,62546.500000,62174.492188,3752
2019-11-22,62546.000000,63100.000000,62500.050781,62651.351563,62278.726563,3155
2019-11-25,62652.000000,63954.000000,62652.000000,63860.148438,63480.332031,5750
2019-11-26,63865.000000,64465.750000,62933.750000,63092.351563,62717.097656,4604
2019-11-27,63100.000000,63496.000000,62851.000000,63004.000000,62629.273438,4315
2019-11-28,63200.000000,64298.898438,62812.000000,63982.601563,63602.058594,4581
2019-11-29,63855.050781,64116.199219,63200.101563,63397.050781,63019.988281,2797
2019-12-02,63397.050781,63597.500000,62550.000000,62723.050781,62349.988281,4456
2019-12-03,62879.050781,63044.199219,61931.449219,62061.699219,61692.574219,4973
2019-12-04,62061.699219,62555.101563,61550.000000,62092.101563,61722.796875,4926
2019-12-05,62380.000000,62597.851563,61575.050781,61760.250000,61392.925781,7439
2019-12-06,62187.898438,62750.000000,61253.398438,61533.199219,61167.230469,6126
2019-12-09,61366.000000,63097.148438,61252.000000,62490.398438,62118.718750,3917
2019-12-10,62400.000000,62458.949219,61525.050781,62070.101563,61700.925781,3345
2019-12-11,62300.000000,62348.949219,61603.300781,62050.199219,61681.140625,2791
2019-12-12,62100.000000,62950.000000,62061.898438,62692.101563,62319.234375,2718
2019-12-13,62800.000000,64100.000000,62800.000000,63926.351563,63546.132813,4829
2019-12-16,63600.000000,64850.000000,63600.000000,64254.250000,63872.089844,5929
2019-12-17,64254.000000,64999.550781,63879.000000,64703.750000,64318.917969,3451
2019-12-18,64603.148438,64929.949219,64000.000000,64126.898438,63745.488281,8346
2019-12-19,64250.000000,64376.500000,63728.050781,64080.050781,63698.925781,3274
2019-12-20,64080.050781,64387.949219,63457.898438,63765.199219,63385.945313,4087
2019-12-23,63600.000000,63900.000000,63387.601563,63680.898438,63302.156250,3576
2019-12-24,63616.000000,63900.000000,63449.898438,63611.750000,63233.406250,2205
2019-12-26,63612.000000,63750.000000,62796.449219,63141.750000,62766.203125,3506
2019-12-27,63299.601563,66599.796875,63202.101563,65639.453125,65249.042969,8889
2019-12-30,65999.000000,66990.000000,65500.000000,66252.398438,65858.351563,9010
2019-12-31,65995.703125,66579.000000,65792.000000,66330.296875,65935.789063,6007
2020-01-01,66199.000000,66944.000000,66100.000000,66709.046875,66312.273438,4235
2020-01-02,66709.046875,67715.953125,66266.000000,67302.546875,66902.257813,6603
2020-01-03,67400.000000,67466.648438,66250.000000,66583.453125,66187.445313,5527
2020-01-06,66012.296875,66176.898438,65120.148438,65508.949219,65119.328125,10446
2020-01-07,65749.000000,66515.046875,65100.000000,65334.101563,64945.511719,10835
2020-01-08,64800.000000,65237.898438,64300.000000,64871.550781,64485.710938,7222
2020-01-09,65800.000000,67150.000000,65520.800781,66917.703125,66519.695313,9491
2020-01-10,66725.000000,68100.000000,66329.546875,67493.648438,67092.218750,9439
2020-01-13,67492.000000,67900.000000,66750.000000,67016.703125,66618.132813,5981
2020-01-14,66701.000000,67500.000000,66452.000000,66696.101563,66299.406250,8147
2020-01-15,66798.000000,66918.601563,65819.546875,66271.703125,65877.539063,7937
2020-01-16,66499.000000,67150.000000,65897.000000,67059.398438,66660.554688,9044
2020-01-17,67460.000000,70000.000000,67139.953125,69312.898438,68900.648438,22381
2020-01-20,69060.000000,70220.250000,68244.000000,68510.750000,68103.265625,9587
2020-01-21,68400.000000,68550.000000,67586.898438,67930.148438,67526.125000,3847
2020-01-22,68459.000000,68800.000000,67521.148438,67851.148438,67447.593750,4575
2020-01-23,68500.000000,70000.000000,68140.000000,69878.648438,69463.031250,9651
2020-01-24,69611.000000,70825.648438,69500.000000,70407.351563,69988.593750,8680
2020-01-27,70290.000000,70600.000000,69781.000000,70309.351563,69891.187500,7624
2020-01-28,70585.000000,70999.953125,69342.046875,69864.703125,69449.171875,5883
2020-01-29,70090.000000,70600.000000,70000.000000,70372.546875,69954.000000,4712
2020-01-30,70539.000000,70600.000000,69501.000000,69818.601563,69403.351563,6362
2020-01-31,69849.000000,70600.000000,69318.203125,69674.750000,69260.343750,4805
2020-02-03,68690.000000,69888.000000,68000.000000,69462.648438,69049.492188,6669
2020-02-04,69650.000000,71899.000000,69650.000000,71680.148438,71253.828125,12327
2020-02-05,71680.148438,73565.703125,71680.148438,72390.796875,71960.242188,10788
2020-02-06,72599.000000,73100.000000,71260.000000,71636.351563,71210.289063,5926
2020-02-07,71899.000000,71900.000000,70371.250000,70960.453125,70538.398438,5974
2020-02-10,71490.000000,73500.000000,69800.000000,73247.898438,72812.242188,29310
2020-02-11,73200.000000,73500.000000,71111.000000,71381.703125,70957.140625,13405
2020-02-12,71755.000000,72809.296875,71400.000000,71675.953125,71249.656250,5903
2020-02-13,71967.000000,71967.000000,70901.101563,71525.148438,71099.742188,5184
2020-02-14,71800.000000,72519.203125,71100.000000,71799.203125,71372.140625,7017
2020-02-17,71800.000000,72333.000000,71200.000000,71299.796875,70875.734375,3950
2020-02-18,71500.000000,71500.000000,69525.000000,69693.601563,69282.007813,9604
2020-02-19,70290.000000,70437.148438,69500.000000,69959.296875,69546.132813,5731
2020-02-20,69959.296875,71232.601563,69751.101563,70789.500000,70371.445313,8466
2020-02-24,70888.000000,70888.000000,68500.148438,68874.703125,68467.937500,4295
2020-02-25,69100.000000,69798.898438,68500.000000,69133.453125,68725.148438,6211
2020-02-26,69134.000000,69403.953125,67850.000000,68140.000000,67737.578125,5155
2020-02-27,68180.000000,68339.953125,66730.703125,67559.453125,67160.453125,6856
2020-02-28,66400.000000,67296.648438,65315.000000,66393.203125,66001.101563,11768
